key_as_string,key,doc_count,jumlah_meninggal.value,jumlah_sembuh.value,jumlah_positif.value,jumlah_dirawat.value,jumlah_positif_kum.value,jumlah_sembuh_kum.value,jumlah_meninggal_kum.value,jumlah_dirawat_kum.value
2020-03-02T00:00:00.000Z,1583107200000,1,0,0,2,2,2,0,0,2
2020-03-03T00:00:00.000Z,1583193600000,1,0,0,0,0,2,0,0,2
2020-03-04T00:00:00.000Z,1583280000000,1,0,0,0,0,2,0,0,2
2020-03-05T00:00:00.000Z,1583366400000,1,0,0,0,0,2,0,0,2
2020-03-06T00:00:00.000Z,1583452800000,1,0,0,2,2,4,0,0,4
2020-03-07T00:00:00.000Z,1583539200000,1,0,0,0,0,4,0,0,4
2020-03-08T00:00:00.000Z,1583625600000,1,0,0,2,2,6,0,0,6
2020-03-09T00:00:00.000Z,1583712000000,1,0,0,13,13,19,0,0,19
2020-03-10T00:00:00.000Z,1583798400000,1,0,2,8,6,27,2,0,25
2020-03-11T00:00:00.000Z,1583884800000,1,1,0,7,6,34,2,1,31
2020-03-12T00:00:00.000Z,1583971200000,1,0,0,0,0,34,2,1,31
2020-03-13T00:00:00.000Z,1584057600000,1,3,0,35,32,69,2,4,63
2020-03-14T00:00:00.000Z,1584144000000,1,1,6,27,20,96,8,5,83
2020-03-15T00:00:00.000Z,1584230400000,1,0,0,21,21,117,8,5,104
2020-03-16T00:00:00.000Z,1584316800000,1,0,0,17,17,134,8,5,121
